"type","genotype","N","mean","sd","se","gene"
"176","Aother","wt",5,2.19468001156175,1.12327827617793,0.502345316636526,"Solyc01g016330.1.1"
"177","Bmbr","wt",4,1.92525879248264,1.32960591243043,0.664802956215216,"Solyc01g016330.1.1"
"178","Bother","wt",4,2.19733770632389,1.41976923254547,0.709884616272733,"Solyc01g016330.1.1"
"179","Cmbr","wt",6,2.17269275844394,1.96548590820831,0.802406261956854,"Solyc01g016330.1.1"
"180","Cother","wt",3,12.2556190858699,17.9104072345269,10.3405784381499,"Solyc01g016330.1.1"
"181","Ambr","wt",3,6.79587449790255,4.42722916557289,2.55606195050767,"Solyc01g016710.1.1"
"182","Aother","wt",5,4.15442933973032,1.83122072474091,0.818946804465422,"Solyc01g016710.1.1"
"183","Bmbr","wt",4,7.92584076311425,4.5545563039684,2.2772781519842,"Solyc01g016710.1.1"
"184","Bother","wt",4,15.7943783543783,18.7231715586776,9.36158577933881,"Solyc01g016710.1.1"
"185","Cmbr","wt",6,10.7516673092853,8.18285598554538,3.34063696721089,"Solyc01g016710.1.1"
"186","Cother","wt",3,37.966614111595,60.2786432887345,34.8018909291363,"Solyc01g016710.1.1"
"187","Ambr","wt",3,9.6617037621999,5.49143837787705,3.17048342570555,"Solyc01g016950.1.1"
"188","Aother","wt",5,4.91865113425147,3.93576850011606,1.76012918199238,"Solyc01g016950.1.1"
"189","Bmbr","wt",4,19.4861208263037,36.1827278174415,18.0913639087208,"Solyc01g016950.1.1"
"190","Bother","wt",4,4.27274399938043,2.67149595867823,1.33574797933911,"Solyc01g016950.1.1"
"191","Cmbr","wt",6,4.92323625721178,4.85752345117618,1.9830756448308,"Solyc01g016950.1.1"
"192","Cother","wt",3,111.626050694987,170.602450513683,98.4973707284845,"Solyc01g016950.1.1"
"193","Ambr","wt",3,4.85228860620079,3.43589489132804,1.98371484041551,"Solyc01g017230.1.1"
"194","Aother","wt",5,3.6622244629179,2.85437046437057,1.27651327826005,"Solyc01g017230.1.1"
"195","Bmbr","wt",4,5.17112626115752,6.92285026535635,3.46142513267817,"Solyc01g017230.1.1"
"196","Bother","wt",4,5.90978553744362,5.41209479907689,2.70604739953845,"Solyc01g017230.1.1"
"197","Cmbr","wt",6,2.44277443965317,2.04943903300079,0.836679981632486,"Solyc01g017230.1.1"
"198","Cother","wt",3,36.6186992818479,58.4920597452151,33.7704064393556,"Solyc01g017230.1.1"
"199","Ambr","wt",3,25.9786060869546,42.1306899547654,24.3241651865285,"Solyc01g020250.1.1"
"200","Aother","wt",5,1.32417850029093,1.36502547145616,0.610457949038934,"Solyc01g020250.1.1"
"201","Bmbr","wt",4,17.5491904598927,34.1875461403119,17.093773070156,"Solyc01g020250.1.1"
"202","Bother","wt",4,30.2715977926919,54.4704809914363,27.2352404957181,"Solyc01g020250.1.1"
"203","Cmbr","wt",6,1.67072117140075,1.61635100828339,0.659872535921236,"Solyc01g020250.1.1"
"204","Cother","wt",3,121.837406933338,190.617242418289,110.052916222383,"Solyc01g020250.1.1"
"205","Ambr","wt",3,21.5826626924233,34.3148043904578,19.8116615520201,"Solyc01g022770.1.1"
"206","Aother","wt",5,1.31306053286049,1.5791883571568,0.706234503175763,"Solyc01g022770.1.1"
"207","Bmbr","wt",4,19.3985143037093,38.7970286074187,19.3985143037093,"Solyc01g022770.1.1"
"208","Bother","wt",4,1.21696689867567,1.96434558104947,0.982172790524734,"Solyc01g022770.1.1"
"209","Cmbr","wt",6,2.85669943142571,4.3816167992835,1.78878756777523,"Solyc01g022770.1.1"
"210","Cother","wt",3,118.74686736468,190.307605565453,109.874147302048,"Solyc01g022770.1.1"
"211","Ambr","wt",3,62.000879921557,98.9920841399943,57.1531064258678,"Solyc01g022780.1.1"
"212","Aother","wt",5,1.68304202589884,1.8909316799034,0.845650355414376,"Solyc01g022780.1.1"
"213","Bmbr","wt",4,31.4531670546943,62.9063341093885,31.4531670546943,"Solyc01g022780.1.1"
"214","Bother","wt",4,9.49341238621619,17.1769008465543,8.58845042327714,"Solyc01g022780.1.1"
"215","Cmbr","wt",6,4.20704697004587,6.50294757377018,2.6548172299678,"Solyc01g022780.1.1"
"216","Cother","wt",3,293.916488239654,466.114906886425,269.111566964175,"Solyc01g022780.1.1"
"217","Ambr","wt",3,162.14246771557,269.788286493947,155.762339831488,"Solyc01g028970.1.1"
"218","Aother","wt",5,10.7417501371607,9.27567159047154,4.14820644265159,"Solyc01g028970.1.1"
"219","Bmbr","wt",4,63.5064905462899,122.312093286781,61.1560466433904,"Solyc01g028970.1.1"
"220","Bother","wt",4,8.24084670895879,7.93129899969709,3.96564949984854,"Solyc01g028970.1.1"
"221","Cmbr","wt",6,6.11262847368145,5.13435573057712,2.09609194964145,"Solyc01g028970.1.1"
"222","Cother","wt",3,713.235915045582,1132.90218996934,654.081384344316,"Solyc01g028970.1.1"
"223","Ambr","wt",3,127.176020038662,205.675235796076,118.746652752504,"Solyc01g034160.1.1"
"224","Aother","wt",5,7.6878819283748,2.25393274624073,1.00798936746141,"Solyc01g034160.1.1"
"225","Bmbr","wt",4,22.4201871602886,37.8536805435953,18.9268402717977,"Solyc01g034160.1.1"
"226","Bother","wt",4,8.52063319111103,4.21328947520213,2.10664473760106,"Solyc01g034160.1.1"
"227","Cmbr","wt",6,5.98704175139899,2.20807550137157,0.901443048650079,"Solyc01g034160.1.1"
"228","Cother","wt",3,139.73361938457,217.545282092748,125.599827177181,"Solyc01g034160.1.1"
"229","Ambr","wt",3,50.4300587525469,81.5512568290337,47.0836400829949,"Solyc01g049700.2.1"
"230","Aother","wt",5,3.68160121423336,2.44344452169869,1.09274160995355,"Solyc01g049700.2.1"
"231","Bmbr","wt",4,34.1606826886853,63.4762788339266,31.7381394169633,"Solyc01g049700.2.1"
"232","Bother","wt",4,3.24852196807994,1.86328527589089,0.931642637945447,"Solyc01g049700.2.1"
"233","Cmbr","wt",6,3.59300577515029,4.30785164306554,1.75867306885345,"Solyc01g049700.2.1"
